table_schema,table_name,index_name,indexdef
voy_marketplace,product_prices,product_prices_pkey,CREATE UNIQUE INDEX product_prices_pkey ON voy_marketplace.product_prices USING btree (product_id)
voy_marketplace,products,idx_products_active,CREATE INDEX idx_products_active ON voy_marketplace.products USING btree (is_active)
voy_marketplace,products,idx_products_category,CREATE INDEX idx_products_category ON voy_marketplace.products USING btree (category_id)
voy_marketplace,products,idx_products_seller,CREATE INDEX idx_products_seller ON voy_marketplace.products USING btree (seller_id)
voy_marketplace,products,products_pkey,CREATE UNIQUE INDEX products_pkey ON voy_marketplace.products USING btree (id)
voy_marketplace,promotion_products,promotion_products_pkey,"CREATE UNIQUE INDEX promotion_products_pkey ON voy_marketplace.promotion_products USING btree (promotion_id, product_id)"
voy_marketplace,promotions,promotions_pkey,CREATE UNIQUE INDEX promotions_pkey ON voy_marketplace.promotions USING btree (id)
voy_marketplace,return_items,return_items_pkey,CREATE UNIQUE INDEX return_items_pkey ON voy_marketplace.return_items USING btree (id)
voy_marketplace,returns,returns_pkey,CREATE UNIQUE INDEX returns_pkey ON voy_marketplace.returns USING btree (id)
voy_marketplace,seller_plans,seller_plans_name_key,CREATE UNIQUE INDEX seller_plans_name_key ON voy_marketplace.seller_plans USING btree (name)
voy_marketplace,seller_plans,seller_plans_pkey,CREATE UNIQUE INDEX seller_plans_pkey ON voy_marketplace.seller_plans USING btree (id)
voy_marketplace,seller_profiles,idx_seller_active,CREATE INDEX idx_seller_active ON voy_marketplace.seller_profiles USING btree (is_active)
voy_marketplace,seller_profiles,idx_seller_owner,CREATE INDEX idx_seller_owner ON voy_marketplace.seller_profiles USING btree (owner_user_id)
voy_marketplace,seller_profiles,seller_profiles_pkey,CREATE UNIQUE INDEX seller_profiles_pkey ON voy_marketplace.seller_profiles USING btree (id)
voy_marketplace,seller_profiles,seller_profiles_store_slug_key,CREATE UNIQUE INDEX seller_profiles_store_slug_key ON voy_marketplace.seller_profiles USING btree (store_slug)
voy_marketplace,seller_staff,idx_seller_staff_seller,CREATE INDEX idx_seller_staff_seller ON voy_marketplace.seller_staff USING btree (seller_id)
voy_marketplace,seller_staff,idx_seller_staff_user,CREATE INDEX idx_seller_staff_user ON voy_marketplace.seller_staff USING btree (user_id)
voy_marketplace,seller_staff,seller_staff_pkey,"CREATE UNIQUE INDEX seller_staff_pkey ON voy_marketplace.seller_staff USING btree (seller_id, user_id)"
voy_marketplace,seller_subscriptions,idx_seller_subscriptions_seller,CREATE INDEX idx_seller_subscriptions_seller ON voy_marketplace.seller_subscriptions USING btree (seller_id)
voy_marketplace,seller_subscriptions,seller_subscriptions_pkey,CREATE UNIQUE INDEX seller_subscriptions_pkey ON voy_marketplace.seller_subscriptions USING btree (id)
