table_schema,table_name,constraint_name,constraint_type
public,VoyUsers,2200_48911_3_not_null,CHECK
public,VoyUsers,2200_48911_4_not_null,CHECK
public,VoyUsers,2200_48911_5_not_null,CHECK
public,VoyUsers,2200_48911_8_not_null,CHECK
public,VoyUsers,VoyUsers_document_type_check,CHECK
public,VoyUsers,VoyUsers_pkey,PRIMARY KEY
public,VoyUsers,VoyUsers_auth_user_id_key,UNIQUE
public,VoyWalletLedger,2200_56933_10_not_null,CHECK
public,VoyWalletLedger,2200_56933_11_not_null,CHECK
public,VoyWalletLedger,2200_56933_1_not_null,CHECK
public,VoyWalletLedger,2200_56933_2_not_null,CHECK
public,VoyWalletLedger,2200_56933_3_not_null,CHECK
public,VoyWalletLedger,2200_56933_4_not_null,CHECK
public,VoyWalletLedger,2200_56933_5_not_null,CHECK
public,VoyWalletLedger,2200_56933_6_not_null,CHECK
public,VoyWalletLedger,VoyWalletLedger_direction_check,CHECK
public,VoyWalletLedger,VoyWalletLedger_reward_id_fkey,FOREIGN KEY
public,VoyWalletLedger,VoyWalletLedger_user_id_fkey,FOREIGN KEY
public,VoyWalletLedger,VoyWalletLedger_wallet_id_fkey,FOREIGN KEY
public,VoyWalletLedger,VoyWalletLedger_pkey,PRIMARY KEY
public,VoyWallets,2200_56891_1_not_null,CHECK
public,VoyWallets,2200_56891_2_not_null,CHECK
public,VoyWallets,2200_56891_3_not_null,CHECK
public,VoyWallets,2200_56891_4_not_null,CHECK
public,VoyWallets,2200_56891_5_not_null,CHECK
public,VoyWallets,2200_56891_6_not_null,CHECK
public,VoyWallets,VoyWallets_user_id_fkey,FOREIGN KEY
public,VoyWallets,VoyWallets_pkey,PRIMARY KEY
public,VoyWallets,VoyWallets_user_id_key,UNIQUE
public,VoyWorkContracts,2200_49566_1_not_null,CHECK
public,VoyWorkContracts,2200_49566_2_not_null,CHECK
public,VoyWorkContracts,2200_49566_3_not_null,CHECK
public,VoyWorkContracts,VoyWorkContracts_contract_type_check,CHECK
