table_schema,table_name,column_name,data_type,is_nullable,column_default
public,VoySectors,description,text,NO,null
public,VoySectors,is_primary,boolean,NO,true
public,VoySectors,created_at,timestamp with time zone,YES,now()
public,VoySectors,display_order,integer,YES,null
public,VoySectors,risk_level,smallint,YES,null
public,VoyUsers,id,uuid,NO,gen_random_uuid()
public,VoyUsers,auth_user_id,uuid,NO,null
public,VoyUsers,role,USER-DEFINED,NO,"'PARTICULAR'::""VoyUserRole"""
public,VoyUsers,full_name,text,NO,null
public,VoyUsers,email,text,NO,null
public,VoyUsers,phone,text,YES,null
public,VoyUsers,birth_year,integer,YES,null
public,VoyUsers,is_active,boolean,NO,true
public,VoyUsers,city,text,YES,'Madrid'::text
public,VoyUsers,district,text,YES,null
public,VoyUsers,neighborhood,text,YES,null
public,VoyUsers,created_at,timestamp with time zone,NO,now()
public,VoyUsers,updated_at,timestamp with time zone,NO,now()
public,VoyUsers,company_sector,text,YES,null
public,VoyUsers,document_type,character varying,YES,'NIF'::character varying
public,VoyUsers,document_number,character varying,YES,null
public,VoyUsers,address,text,YES,null
public,VoyUsers,postal_code,character varying,YES,null
public,VoyUsers,province,character varying,YES,null
public,VoyUsers,country,character varying,YES,'España'::character varying
public,VoyUsers,document_photo_url,text,YES,null
public,VoyUsers,selfie_photo_url,text,YES,null
public,VoyUsers,verification_document,text,YES,null
public,VoyUsers,verification_status,text,YES,null
public,VoyUsers,verification_type,text,YES,null
public,VoyUsers,verification_requested_at,timestamp with time zone,YES,null
public,VoyWalletLedger,id,uuid,NO,gen_random_uuid()
public,VoyWalletLedger,wallet_id,uuid,NO,null
public,VoyWalletLedger,user_id,uuid,NO,null
public,VoyWalletLedger,amount,numeric,NO,null
public,VoyWalletLedger,direction,text,NO,null
public,VoyWalletLedger,reason_code,text,NO,null
public,VoyWalletLedger,reward_id,uuid,YES,null
public,VoyWalletLedger,reference_table,text,YES,null
public,VoyWalletLedger,reference_id,uuid,YES,null
public,VoyWalletLedger,metadata,jsonb,NO,'{}'::jsonb
public,VoyWalletLedger,created_at,timestamp with time zone,NO,now()
public,VoyWallets,id,uuid,NO,gen_random_uuid()
public,VoyWallets,user_id,uuid,NO,null
public,VoyWallets,balance,numeric,NO,0
public,VoyWallets,currency,text,NO,'EUR'::text
public,VoyWallets,created_at,timestamp with time zone,NO,now()
public,VoyWallets,updated_at,timestamp with time zone,NO,now()
public,VoyWorkContracts,id,uuid,NO,gen_random_uuid()
public,VoyWorkContracts,job_id,uuid,NO,null
public,VoyWorkContracts,contract_type,text,NO,null
public,VoyWorkContracts,monthly_salary,numeric,YES,null
public,VoyWorkContracts,social_security,boolean,YES,false
public,VoyWorkContracts,union_required,boolean,YES,false
public,VoyWorkContracts,notes,text,YES,null
public,VoyWorkContracts,contract_document_url,text,YES,null
public,VoyWorkContracts,created_at,timestamp with time zone,YES,now()
public,VoyWorkContracts,updated_at,timestamp with time zone,YES,now()
public,VoyWorkSchedules,id,uuid,NO,gen_random_uuid()
public,VoyWorkSchedules,job_id,uuid,NO,null
public,VoyWorkSchedules,period_type,text,NO,null
public,VoyWorkSchedules,day_of_week,ARRAY,YES,null
public,VoyWorkSchedules,start_time,time without time zone,YES,null
public,VoyWorkSchedules,end_time,time without time zone,YES,null
public,VoyWorkSchedules,start_date,date,YES,null
public,VoyWorkSchedules,end_date,date,YES,null
public,VoyWorkSchedules,created_at,timestamp with time zone,YES,now()
public,VoyWorkSchedules,updated_at,timestamp with time zone,YES,now()
